iter	Passed	Remaining
0	297	44384
1	590	43663
2	611	29983
3	945	34521
4	1249	36242
5	1561	37487
6	1857	37950
7	2152	38207
8	2444	38296
9	2729	38209
10	2751	34771
11	3078	35405
12	3415	35998
13	3730	36237
14	4033	36300
15	4344	36388
16	4644	36340
17	4937	36210
18	5222	36008
19	5507	35798
20	5808	35680
21	6093	35453
22	6363	35136
23	6642	34875
24	6970	34850
25	7282	34729
26	7598	34613
27	7917	34498
28	8232	34351
29	8513	34055
30	8802	33790
31	9087	33510
32	9403	33340
33	9710	33128
34	10036	32977
35	10347	32765
36	10650	32526
37	10972	32340
38	11288	32128
39	11655	32052
40	11959	31793
41	12257	31520
42	12564	31265
43	12874	31015
44	13169	30727
45	13463	30438
46	13777	30192
47	14107	29977
48	14409	29701
49	14714	29428
50	15066	29247
51	15409	29040
52	15746	28819
53	16064	28559
54	16390	28311
55	16702	28036
56	16996	27730
57	17065	27068
58	17382	26810
59	17705	26557
60	18059	26348
61	18359	26058
62	18688	25808
63	19025	25565
64	19352	25307
65	19704	25078
66	20053	24842
67	20365	24558
68	20698	24298
69	21018	24020
70	21322	23724
71	21627	23430
72	21929	23131
73	22264	22865
74	22605	22605
75	22920	22316
76	23258	22050
77	23641	21823
78	24011	21579
79	24446	21390
80	24853	21171
81	25200	20897
82	25570	20641
83	26036	20457
84	26432	20213
85	26805	19948
86	27281	19755
87	27707	19521
88	28144	19290
89	28607	19071
90	29047	18832
91	29644	18688
92	30075	18433
93	30248	18020
94	30843	17856
95	30896	17379
96	31365	17137
97	31776	16860
98	32445	16714
99	32907	16453
100	33295	16153
101	33763	15888
102	33982	15506
103	34438	15232
104	34894	14954
105	35327	14664
106	35801	14387
107	36081	14031
108	36545	13746
109	36906	13420
110	37405	13142
111	37884	12853
112	38388	12569
113	39016	12321
114	39471	12013
115	39909	11697
116	40288	11363
117	40655	11025
118	40993	10679
119	41357	10339
120	41684	9990
121	42004	9640
122	42384	9303
123	42785	8971
124	43184	8636
125	43601	8305
126	44004	7969
127	44352	7623
128	44745	7284
129	45137	6944
130	45498	6599
131	45884	6257
132	46073	5889
133	46447	5545
134	46849	5205
135	47268	4865
136	47708	4527
137	48059	4179
138	48472	3835
139	48857	3489
140	49224	3141
141	49591	2793
142	49982	2446
143	50316	2096
144	50638	1746
145	51015	1397
146	51436	1049
147	51807	700
148	52157	350
149	52503	0
