동아리명,공식사이트,해시태그,소속,동아리소개
KURP,없음,#세미나 #강연회 #토론,인문과학분과,"KURP는 종교철학 동아리입니다. 신과 종교, 철학에 대한 다양한 탐구와 학술적 논의와 토론을 통해 각 종교와 철학이 가진 생각들을 공유하고자 합니다. 또한 단순히 학문에서 그칠 것이 아니라 종교철학을 통해 모람과 학우분들이 대학생활 및 진로 등을 설계하는 데 도움이 되고자 합니다. 개강과 종강 시기 총회를 개최하며, 팀별 정기회의에서 팀별로 회의와 토론을 온/오프라인으로 진행합니다. 또한 종교철학 토론회를 개최하고자 합니다."
고란도란,https://www.facebook.com/kugorandoran,#토론 #논쟁 #화합,인문과학분과,"고란도란은 '고려대+도란도란'의 합성어로 고대 학생들이 도란도란 자신의 생각을 얘기하는 동아리라는 뜻입니다. 고란도란은 승리만을 위한 토론을 지양하고 학내 구성원들이 성별, 전공, 나이, 정치적 신념에 관계없이 자신의 생각을 자유롭게 나눌 수 있는 토론을 지향하고 있습니다. 1분 스피치, 연세대 토론 동아리 YDT와 교류 토론전 진행, 신입기수 토론대회 예/결선 진행 예정"
불교학생회,없음,#법회 #불교행사 #친목,종교분과,"1. 정기법회 : 격주 화요일마다 지도법사님의 지도 아래 법회를 진행합니다. 지도법사님의 법문과 함께 일상생활에서 벗어나 힐링해보세요 2. 연등제 : 매년 부처님 오신날, 서울 시내 모든 대학의 불교학생회가 참여하는 장엄한 연등행렬에 참여합니다! 3. 연화제 : 불교학생회 활동 중 돌아가신 선배님들을 기립니다. 4. 연합법회 : 연세대학교, 경희대학교 등 다른 학교와 법회도 하고, 뒤풀이도 하면서 친목을 다집니다! 5. 템플스테이 : 마음 맞는 법우들과 함께 국내의 이름난 사찰을 방문해 템플스테이를 하면서 심신의 안정과 수련을 도모합니다."
KULAX,https://www.facebook.com/koreaunivlacrosse/posts/951930254862230/,#운동 #팀스포츠 #리그,체육분과,"고려대학교 중앙 여자 라크로스 동아리입니다. KULAX는 다양한 전공을 가진 팀원과 함께 경기를 뛰면서 팀워크 쌓고 친목을 도모합니다. 비교적 신설 동아리임에도 불구하고, 꾸준히 정기 연습에 참여하는 졸업생 멤버들이 있을 만큼 돈독한 팀워크를 자랑합니다. 1. 학기 초 신입모집 트라이아웃 2. 신입부원을 위한 룰 클리닉 진행 3. 비정기 연습, 개인 연습 진행 그밖에 대학 리그나 인도어리그를 통해 팀워크를 다지고 경기 경험을 쌓고 있습니다."
아마추어축구부,인스타 amateur_football.ku,"#유일무이축구중앙동아리, #축구",체육분과,축구동아리 각종 대회 참가. 선후배간 끈끈. 정기적인 운동 고대컵 총장배 등 교내대회 및 전국대회 참가
고대바둑사랑,https://www.facebook.com/koreabaduklove/,#바둑 #대회 #교류전 #리그전,생활문화분과,"바둑을 좋아하는 사람들이 모여있는 동아리 바둑에 대한 열정이 있다. 온라인으로도 대국을 통한 교류가 가능하다 동아리 자체 리그전, 대학생 바둑대회 참가, 타대학 바둑동아리와 교류전, OB선배님과의 교류"
KUBT,https://www.strava.com/clubs/-kubt-korea-university-bike-team-138791?hl=ko-KR,#자덕 #자율 #힐링 ,체육분과,"저희 KUBT는 자전거 동아리인 만큼 라이딩이 주된 활동입니다. 라이딩을 기획하여 목적지를 정하고 짧게는 20-30km에서 길게는 150km가 넘는 라이딩을 진행합니다. 강원대, 연세대 등 타 대학교와 연합하여 자전거를 타는 연합 라이딩을 하기도 하고 OB팀인 타이거 바이크와 함께 연합하여 라이딩, 자체 대회 등 다양한 활동에 참여하기도 합니다. 대회 일정 등을 확인하여 다같이 대회에 참가하는 등의 활동도 준비되어 있습니다."
KUCC,https://kucc.co.kr,"#컴퓨터,#코딩,#개발",생활문화분과,"고려대학교 중앙 컴퓨터 동아리 KUCC는 1973년 전산고우회로 시작하여 컴퓨터에 관심이 있고, 더 학습하고 싶고, 각자의 지식을 나누고 싶어하는 사람들이 모인 동아리입니다. KUCC는 컴퓨터를 사랑하는 사람들을 환영합니다!? KUCC에서는 매 학기 20여개의 스터디와 세션을 통해 서로 가르치고 배우며 관심 있는 컴퓨터 분야에 대한 지식을 나눌 수 있습니다. 팀을 꾸려 대회에 나가거나 프로젝트를 진행하며 결과물을 만들어가는 활동 또한 활발하게 이어지고 있습니다. "
유스호스텔, http://instagram.com/ku_youthhostel,#여행 #추억 #MT,생활문화분과,"여행동아리, 다양한 사람들을 만나 함께 여행을 다니면서 특별한 추억을 만들 수 있습니다!, 국내여행, 테마여행, 방탈출, 보드카페, 한강 등 / 코로나 상황에 따라 가능하다면 대면으로 활동을 진행할 것이나 대면이 불가능할 경우 온라인을 통해 모두가 참여할 수 있는 활동을 기획할 것입니다."
고고쉼,https://www.instagram.com/ku_catshelter/,"#고양이, #동물권, #봉사",사회분과,"고고쉼(고려대 고양이 쉼터)은 사회분과 가등록 동물권 봉사 동아리로, 고려대 캠퍼스 내 고양이들과의 상생을 도모하기 위해 활동하고 있습니다. 고고쉼은 교내 서식하는 고양이들이 안전하고 건강한 삶을 유지할 수 있도록 매일 급식을 시행하고 있습니다. 또한 정기 사업으로 연 2회 TNR 및 후원 굿즈 판매 등을 진행하고 있으며, 환묘들을 포획하여 진료를 받을 수 있도록 활동을 진행하고 있습니다. "
