userid,club,ratings
abgc4531,14,4
abgc4531,6,4
abgc4531,21,4
abgc4531,41,2
abgc4531,5,3.5
abgc4531,18,4
abgc4531,53,1
abgc4531,13,1.5
opt758,14,3
opt758,38,4
opt758,10,1.5
opt758,54,2
opt758,17,3
opt758,68,4
opt758,78,1
opt758,46,3
opt758,58,2.5
luo2165,80,4
luo2165,84,4.5
luo2165,82,3.5
luo2165,85,3
luo2165,51,1.5
luo2165,25,3
luo2165,69,2.5
luo2165,62,2.5
luo2165,73,4
dpow3146,28,4
dpow3146,29,4.5
dpow3146,34,1.5
dpow3146,44,3.5
dpow3146,51,3
dpow3146,48,3
dpow3146,50,4
dpow3146,47,1.5
dpow3146,63,3.5
dpow3146,64,3
pd1245,52,3
pd1245,43,3.5
pd1245,42,2
gdrt567,67,3.5
gdrt567,64,4
gdrt567,65,3.5
gdrt567,66,4
gdrt567,71,2.5
gdrt567,70,1.5
gdrt567,61,4
gdrt567,58,4
gdrt567,59,3.5
gdrt567,44,4
aio812,76,3
aio812,77,3.5
aio812,83,4
aio812,84,4
aio812,62,2
aio812,56,1
aio812,48,3
aio812,33,3
ulp2164,10,2.5
ulp2164,12,3.5
ulp2164,16,3.5
ulp2164,26,1.5
ulp2164,18,3.5
ulp2164,79,1.5
ulp2164,30,4.5
ulp2164,29,3.5
qldb44,68,5
qldb44,35,4
qldb44,41,3.5
qldb44,37,3
qldb44,63,1.5
qldb44,86,2
qldb44,24,2.5
qldb44,3,3.5
qldb44,1,4
qldb44,4,4
tplb52,22,4.5
tplb52,23,4.5
tplb52,26,3.5
tplb52,28,3
tplb52,78,1.5
tplb52,60,3
tplb52,54,3.5
gglp11,2,4
gglp11,4,4
gglp11,8,4.5
gglp11,9,3
gglp11,10,3
gglp11,11,2.5
gglp11,83,3
gglp11,81,3.5
gglp11,75,4
gglp11,76,4
ooun771,32,4.5
ooun771,17,4
ooun771,33,2
ooun771,37,3
ooun771,12,4
ooun771,36,1.5
ooun771,71,1
whee12,48,4
whee12,32,5
whee12,30,4
whee12,40,1.5
whee12,54,1.5
whee12,25,4
